time,latitude,longitude,depth,mag,id,place,eventType
2016-07-21T19:52:40.670Z,37.5271683,-118.8983307,-1.53,1.57,nc72664386,"14km SSE of Mammoth Lakes, California",earthquake
2016-07-21T19:42:28.660Z,38.2565,-118.6612,0.8,1.1,nn00552814,"29km S of Hawthorne, Nevada",earthquake
2016-07-21T19:20:11.500Z,37.5286674,-118.8964996,-0.74,2.18,nc72664381,"14km SSE of Mammoth Lakes, California",earthquake
2016-07-21T19:11:44.120Z,37.4841652,-118.8366699,12.41,1.72,nc72664376,"21km SSE of Mammoth Lakes, California",earthquake
2016-07-21T19:11:26.590Z,37.5309982,-118.8978348,-1.49,1.59,nc72664371,"14km SSE of Mammoth Lakes, California",earthquake
2016-07-21T19:08:03.140Z,33.42,-116.6393333,10.62,0.46,ci37636728,"15km N of Warner Springs, CA",earthquake
2016-07-21T19:05:55.530Z,37.5281677,-118.8931656,0.2,1.33,nc72664366,"15km SSE of Mammoth Lakes, California",earthquake
2016-07-21T18:57:45.110Z,38.8048325,-122.8219986,2.3,2,nc72664361,"6km WNW of The Geysers, California",earthquake
2016-07-21T18:50:48.130Z,39.3343315,-122.8095016,7.61,2.51,nc72664346,"20km NNE of Upper Lake, California",earthquake
2016-07-21T18:47:44.650Z,39.3278333,-122.7648333,17.45,1.54,nc72664351,"22km NE of Upper Lake, California",earthquake
2016-07-21T18:45:35.910Z,39.3231667,-122.7983333,10.29,1.44,nc72664341,"20km NNE of Upper Lake, California",earthquake
2016-07-21T18:29:29.580Z,33.8463333,-117.5001667,1.38,1.72,ci37636664,"4km SSE of Home Gardens, CA",quarry blast
2016-07-21T18:26:22.610Z,36.295166,-120.8570023,8.72,1.27,nc72664336,"25km ENE of King City, California",earthquake
2016-07-21T17:57:39.730Z,35.0498333,-118.3475,0.5,1.02,ci37636624,"13km SE of Tehachapi, CA",earthquake
2016-07-21T17:44:06.000Z,61.1701,-140.2553,14.7,1.1,ak13791898,"155km WNW of Haines Junction, Canada",earthquake
2016-07-21T17:39:12.200Z,38.2684,-118.3456,15.5,-0.2,nn00552807,"37km SE of Hawthorne, Nevada",earthquake
2016-07-21T17:37:17.340Z,34.082,-117.2945,14.29,1.07,ci37636608,"2km ENE of Colton, CA",earthquake
2016-07-21T17:35:34.000Z,63.3503,-152.0658,3.8,1.4,ak13791343,"151km NW of Talkeetna, Alaska",earthquake
2016-07-21T17:20:53.990Z,33.6341667,-116.6731667,12.74,0.04,ci37371333,"9km N of Anza, CA",earthquake
2016-07-21T17:20:29.890Z,33.9533333,-116.8648333,4.71,0.55,ci37636560,"3km NNE of Banning, CA",earthquake
2016-07-21T17:15:19.000Z,68.4888,-146.6284,0,1.5,ak13791214,"60km NW of Arctic Village, Alaska",earthquake
2016-07-21T17:09:50.430Z,37.3293343,-122.1054993,-0.32,1.85,nc72664316,"2km S of Loyola, California",earthquake
2016-07-21T17:09:21.000Z,60.7101,-150.3571,38.9,1.8,ak13791206,"29km NE of Sterling, Alaska",earthquake
2016-07-21T17:06:35.000Z,66.0946,-149.3929,0.7,1.2,ak13791208,"134km NNE of Manley Hot Springs, Alaska",earthquake
2016-07-21T17:00:28.160Z,19.4571667,-155.2315063,31.32,2.05,hv61347966,"2km NNE of Volcano, Hawaii",earthquake
2016-07-21T16:50:15.840Z,-7.0277,126.5895,372.62,4.6,us20006ggu,"203km NNE of Dili, East Timor",earthquake
2016-07-21T16:46:03.270Z,38.8333321,-122.8000031,1.83,1.2,nc72664311,"6km W of Cobb, California",earthquake
2016-07-21T16:44:06.000Z,64.8363,-147.2605,0,0.9,ak13791198,"10km NNE of North Pole, Alaska",earthquake
2016-07-21T16:37:37.339Z,37.4524,-118.561,4.4,0.5,nn00552796,"13km NW of West Bishop, California",earthquake
2016-07-21T16:36:35.690Z,38.6831667,-112.2123333,6.71,1.24,uu60156372,"9km NW of Monroe, Utah",earthquake
2016-07-21T16:35:43.310Z,38.7616653,-122.7151642,0.84,0.97,nc72664306,"3km ESE of The Geysers, California",earthquake
2016-07-21T16:34:23.090Z,38.8269997,-122.8006668,-0.88,1.01,nc72664301,"6km W of Cobb, California",earthquake
2016-07-21T16:28:40.090Z,-23.8493,-174.8442,10,5.3,us20006ggf,"278km S of `Ohonua, Tonga",earthquake
2016-07-21T16:22:54.850Z,38.7643318,-122.742836,1.29,1.52,nc72664296,"1km SE of The Geysers, California",earthquake
2016-07-21T16:06:17.578Z,36.9921,-113.5067,0,0.3,nn00552795,"14km SSE of Saint George, Utah",earthquake
2016-07-21T16:01:56.270Z,19.3990002,-155.2571716,1.55,1.83,hv61347956,"4km SSW of Volcano, Hawaii",earthquake
2016-07-21T15:57:26.000Z,59.8298,-153.6746,191.4,2.2,ak13790633,"70km E of Old Iliamna, Alaska",earthquake
2016-07-21T15:52:25.520Z,38.691,-112.212,-0.58,1.82,uu60156367,"10km NW of Monroe, Utah",earthquake
2016-07-21T15:28:10.060Z,19.517334,-155.7064972,10.52,2.46,hv61347946,"17km ENE of Honaunau-Napoopoo, Hawaii",earthquake
2016-07-21T15:18:44.560Z,-23.5777,-175.5753,10,5.3,us20006gfh,"256km SSW of `Ohonua, Tonga",earthquake
2016-07-21T15:17:41.340Z,41.3394,44.2255,14.68,4.2,us20006gfg,"15km N of Metsavan, Armenia",earthquake
2016-07-21T15:15:44.000Z,60.043,-153.6088,170.6,3.6,ak13790593,"68km SW of Redoubt Volcano, Alaska",earthquake
